NAME,,,DETAILED_INFO,,,,,MUSCLE_GROUPS,,,,,,,,,,,,,,,,,,EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,CATEGORY_GARMIN,NAME_GARMIN,FOUND,IMAGE,URL,DIFFICULTY,DESCRIPTION,,ABDUCTORS,ABS,ADDUCTORS,BICEPS,CALVES,CHEST,FOREARM,GLUTES,HAMSTRINGS,HIPS,LATS,LOWER_BACK,OBLIQUES,QUADS,SHOULDERS,TRAPS,TRICEPS,ANKLE_WEIGHT,BAND,BARBELL,BATTLE_ROPE,BENCH,BIKE,BOSU_BALL,BOX,CABLE_MACHINE,DUMBBELL,EZ_BAR,FOAM_ROLLER,JUMP_ROPE,KETTLEBELL,MACHINE,MEDICINE_BALL,OTHER,PLATE,PULLUP_BAR,RINGS,ROPE,SANDBAG,SLED,SLIDING_DISC,SMITH_MACHINE,SQUAT_RACK,SWISS_BALL,TRX,WEIGHT_VEST
Banded Squat to Press,BANDED_EXERCISES,SQUAT_TO_PRESS,FALSE,,,,,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Tricep Extension,BANDED_EXERCISES,TRICEP_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Tricep Kick-back,BANDED_EXERCISES,TRICEP_KICKBACK,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Upright Row,BANDED_EXERCISES,UPRIGHT_ROW,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Wall Crawl with External Rotation,BANDED_EXERCISES,WALL_CRAWL_WITH_EXTERNAL_ROTATION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Alternating Figure Eight,BATTLE_ROPE,ALTERNATING_FIGURE_EIGHT,FALSE,,,,,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Alternating Jump Wave,BATTLE_ROPE,ALTERNATING_JUMP_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Alternating Kneeling to Standing Wave,BATTLE_ROPE,ALTERNATING_KNEELING_TO_STANDING_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Alternating Lunge Wave,BATTLE_ROPE,ALTERNATING_LUNGE_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Alternating Squat Wave,BATTLE_ROPE,ALTERNATING_SQUAT_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,1,2,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Alternating Wave,BATTLE_ROPE,ALTERNATING_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Alternating Wave with Lateral Shuffle,BATTLE_ROPE,ALTERNATING_WAVE_WITH_LATERAL_SHUFFLE,FALSE,,,,,0,2,2,2,1,2,0,1,2,2,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope,BATTLE_ROPE,BATTLE_ROPE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Clap Wave,BATTLE_ROPE,CLAP_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Double-arm Figure Eight,BATTLE_ROPE,DOUBLE_ARM_FIGURE_EIGHT,FALSE,,,,,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Double Arm Side-to-Side Snake,BATTLE_ROPE,DOUBLE_ARM_SIDE_TO_SIDE_SNAKE,FALSE,,,,,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Double-arm Side Wave,BATTLE_ROPE,DOUBLE_ARM_SIDE_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Double-arm Slam,BATTLE_ROPE,DOUBLE_ARM_SLAM,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Double-arm Wave,BATTLE_ROPE,DOUBLE_ARM_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Grappler Toss,BATTLE_ROPE,GRAPPLER_TOSS,FALSE,,,,,0,0,2,0,2,0,0,2,0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Hip Toss,BATTLE_ROPE,HIP_TOSS,FALSE,,,,,0,0,2,0,2,0,0,2,0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope In and Out Wave,BATTLE_ROPE,IN_AND_OUT_WAVE,FALSE,,,,,0,0,2,0,1,2,0,1,2,2,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Inside Circle,BATTLE_ROPE,INSIDE_CIRCLE,FALSE,,,,,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Jumping Jacks,BATTLE_ROPE,JUMPING_JACKS,FALSE,,,,,0,1,0,1,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Outside Circle,BATTLE_ROPE,OUTSIDE_CIRCLE,FALSE,,,,,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Rainbow,BATTLE_ROPE,RAINBOW,FALSE,,,,,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Side Plank Wave,BATTLE_ROPE,SIDE_PLANK_WAVE,FALSE,,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battle Rope Sidewinder,BATTLE_ROPE,SIDEWINDER,FALSE,,,,,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
