NAME,,,DETAILED_INFO,,,,,MUSCLE_GROUPS,,,,,,,,,,,,,,,,,,
Name,CATEGORY_GARMIN,NAME_GARMIN,FOUND,IMAGE,URL,DIFFICULTY,DESCRIPTION,,ABDUCTORS,ABS,ADDDUCTORS,ADDUCTORS,BICEPS,CALVES,CHEST,FOREARM,GLUTES,HAMSTRINGS,HIPS,LATS,LOWER_BACK,OBLIQUES,QUADS,SHOULDERS,TRAPS,TRICEPS
Single-leg Hip Raise,HIP_RAISE,SINGLE_LEG_HIP_RAISE,TRUE,,https://connect.garmin.com/modern/exercises/HIP_RAISE/SINGLE_LEG_HIP_RAISE,Beginner,"The single-leg hip raise builds strength and stability through the hamstrings and glutes. The movement also improves core strength, balance, and coordination.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
Band Side-lying Leg Raise,HIP_STABILITY,BAND_SIDE_LYING_LEG_RAISE,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Bug,HIP_STABILITY,DEAD_BUG,FALSE,,,,,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0
External Hip Raise,HIP_STABILITY,EXTERNAL_HIP_RAISE,TRUE,,https://connect.garmin.com/modern/exercises/HIP_STABILITY/EXTERNAL_HIP_RAISE,Beginner,The external hip raise increases strength and stability in hips and glutes. The exercise also actively engages the core.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Hydrant Kicks,HIP_STABILITY,FIRE_HYDRANT_KICKS,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Inner-thigh Lift,HIP_STABILITY,INNER_THIGH_LIFT,FALSE,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lateral Walks with Band at Ankles,HIP_STABILITY,LATERAL_WALKS_WITH_BAND_AT_ANKLES,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying Abduction Stretch,HIP_STABILITY,LYING_ABDUCTION_STRETCH,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pretzel Side Kick,HIP_STABILITY,PRETZEL_SIDE_KICK,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
Prone Hip Internal Rotation,HIP_STABILITY,PRONE_HIP_INTERNAL_ROTATION,FALSE,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Quadruped,HIP_STABILITY,QUADRUPED,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Quadruped Hip Extension,HIP_STABILITY,QUADRUPED_HIP_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Quadruped with Leg Lift,HIP_STABILITY,QUADRUPED_WITH_LEG_LIFT,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Side-lying Leg Raise,HIP_STABILITY,SIDE_LYING_LEG_RAISE,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sliding Hip Adduction,HIP_STABILITY,SLIDING_HIP_ADDUCTION,FALSE,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Adduction,HIP_STABILITY,STANDING_ADDUCTION,FALSE,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Cable Hip Abduction,HIP_STABILITY,STANDING_CABLE_HIP_ABDUCTION,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Hip Abduction,HIP_STABILITY,STANDING_HIP_ABDUCTION,FALSE,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Rear-leg Raise,HIP_STABILITY,STANDING_REAR_LEG_RAISE,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0
Supine Hip Internal Rotation,HIP_STABILITY,SUPINE_HIP_INTERNAL_ROTATION,FALSE,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One-arm Swing,HIP_SWING,ONE_ARM_SWING,TRUE,,https://connect.garmin.com/modern/exercises/HIP_SWING/ONE_ARM_SWING,Beginner,The one-arm swing builds power and strength in the hamstrings and glutes. The exercise improves cardiovascular endurance.,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,1,0,0
Back Extension with Opposite Arm and Leg Reach,HYPEREXTENSION,BACK_EXTENSION_WITH_OPPOSITE_ARM_AND_LEG_REACH,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Base Rotations,HYPEREXTENSION,BASE_ROTATIONS,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
Cobra,HYPEREXTENSION,COBRA,TRUE,,https://connect.garmin.com/modern/exercises/HYPEREXTENSION/COBRA,Beginner,This exercise improves posture and counterbalances the tendency of the torso to curl forward.,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2
Kneeling Superman,HYPEREXTENSION,KNEELING_SUPERMAN,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Knee Raises,HYPEREXTENSION,KNEE_RAISES,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Single-leg Back Extension,HYPEREXTENSION,SINGLE_LEG_BACK_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Spine Extension,HYPEREXTENSION,SPINE_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Static Back Extension,HYPEREXTENSION,STATIC_BACK_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Superman from Floor,HYPEREXTENSION,SUPERMAN_FROM_FLOOR,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Superman on Swiss Ball,HYPEREXTENSION,SUPERMAN_ON_SWISS_BALL,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Swiss Ball Back Extension,HYPEREXTENSION,SWISS_BALL_BACK_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Swiss Ball Hyperextension,HYPEREXTENSION,SWISS_BALL_HYPEREXTENSION,TRUE,,https://connect.garmin.com/modern/exercises/HYPEREXTENSION/SWISS_BALL_HYPEREXTENSION,Intermediate,The Swiss ball hyperextension builds strength in the lower back and glutes. Performing the exercise with a Swiss ball also ensures the core is actively engaged throughout the entire range of motion.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Swiss Ball Opposite Arm and Leg Lift,HYPEREXTENSION,SWISS_BALL_OPPOSITE_ARM_AND_LEG_LIFT,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Arm Circles,LATERAL_RAISE,ARM_CIRCLES,TRUE,,https://connect.garmin.com/modern/exercises/LATERAL_RAISE/ARM_CIRCLES,Beginner,Arm circles are a great dynamic warm-up exercise to help prepare the body for a workout. They also increase multi-planar stability in the core and shoulders.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Front Raise,LATERAL_RAISE,FRONT_RAISE,FALSE,,,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0
Alternating Dumbbell Lunge,LUNGE,ALTERNATING_DUMBBELL_LUNGE,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/ALTERNATING_DUMBBELL_LUNGE,Intermediate,"The alternating dumbbell lunge is a single-leg strength exercise that targets the quads, hips, hamstrings and core. The alternating structure of the movement improves muscular balance on both sides of the body.",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Alternating Dumbbell Lunge with Reach,LUNGE,ALTERNATING_DUMBBELL_LUNGE_WITH_REACH,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/ALTERNATING_DUMBBELL_LUNGE_WITH_REACH,Beginner,The alternating dumbbell lunge with reach increases mobility and strength throughout the entire body. This exercise specifically targets the legs while also activating the core and shoulders.,0,0,2,0,0,2,0,0,0,1,2,0,0,0,0,1,2,0,0
Diagonal Lunge,LUNGE,DIAGONAL_LUNGE,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Low Lunge with Isometric Adduction,LUNGE,LOW_LUNGE_WITH_ISOMETRIC_ADDUCTION,TRUE,,https://connect.garmin.com/modern/exercises/LUNGE/LOW_LUNGE_WITH_ISOMETRIC_ADDUCTION,Intermediate,The low lunge with isometric adduction strengthens the inner thighs while increasing hip mobility and functionality.,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0
